client_user_id,paid_at,Recency,Frequency,Monetary,category_Desain Grafis & Branding,category_Gaya Hidup,category_Konsultasi,category_Pemasaran & Periklanan,category_Penulisan & Penerjemahan,category_Unknown,"category_Video, Fotografi & Audio",category_Web & Pemrograman,Cluster
An******34,2024-05-21 21:24:00,194,1,100820,0,0,0,1,0,0,0,0,0
An******72,2024-03-05 08:13:00,271,1,100317,0,0,0,1,0,0,0,0,0
An******ns,2024-09-06 07:00:00,87,1,100151,0,0,0,1,0,0,0,0,0
An******va,2024-07-16 15:27:00,138,1,1516500,0,0,0,0,1,0,0,0,2
An*****36,2024-09-10 07:00:00,83,3,730017,0,0,0,1,0,0,0,0,0
An*****99,2024-06-24 15:11:00,160,3,1365889,1,0,0,0,0,0,0,0,1
An*****zi,2024-11-12 21:56:00,19,1,100000,1,0,0,0,0,0,0,0,1
An****07,2024-05-24 11:01:00,191,1,100999,0,0,0,1,0,0,0,0,0
An****aW,2024-08-22 07:00:00,102,1,100153,0,0,0,1,0,0,0,0,0
An****ay,2024-08-20 07:00:00,104,1,202267,0,0,0,1,0,0,0,0,0
An****en,2024-09-10 17:16:00,82,1,100089,0,0,0,1,0,0,0,0,0
An****ie,2024-08-15 20:12:00,108,1,303300,1,0,0,0,0,0,0,0,1
An****wp,2024-06-10 07:43:00,174,1,100728,0,0,0,1,0,0,0,0,0
Ap********na,2024-10-12 19:38:00,50,1,101154,0,0,0,1,0,0,0,0,0
Ap*******64,2024-03-08 17:51:00,268,1,567329,0,0,0,1,0,0,0,0,0
Ap*****24,2024-09-13 13:27:00,79,1,111288,1,0,0,0,0,0,0,0,1
Ar*********23,2024-05-20 17:47:00,195,1,100977,0,0,0,0,1,0,0,0,2
Ar********03,2024-09-14 06:41:00,79,1,100089,0,0,0,1,0,0,0,0,0
Ar********95,2024-11-15 07:00:00,17,1,100152,0,0,0,1,0,0,0,0,0
Ar********ih,2024-09-27 14:39:00,65,3,300413,0,0,0,1,0,0,0,0,0
Ar*******06,2024-11-03 10:53:00,28,1,485280,0,0,0,0,0,1,0,0,3
Ar*******12,2024-08-15 19:24:00,108,2,2122539,1,0,0,1,0,0,0,0,1
Ar*******24,2024-08-03 19:11:00,120,1,101100,0,0,0,1,0,0,0,0,0
Ar*******an,2024-11-20 20:03:00,11,1,100146,0,0,0,1,0,0,0,0,0
Ar*******di,2024-10-16 15:04:00,46,1,505518,0,0,1,0,0,0,0,0,2
Ar*****12,2024-06-18 11:54:00,166,1,100731,0,0,0,1,0,0,0,0,0
Ar*****ng,2024-08-23 16:01:00,100,1,131430,0,0,0,0,1,0,0,0,2
Ar****fd,2024-03-16 10:56:00,260,1,279022,0,0,0,0,0,1,0,0,3
Ar****n.,2024-08-30 23:01:00,93,1,105144,0,0,0,1,0,0,0,0,0
Ar****ng,2024-09-30 11:06:00,62,1,101100,0,0,0,1,0,0,0,0,0
Ar****zl,2024-07-22 20:21:00,132,1,100089,0,0,0,1,0,0,0,0,0
As************25,2024-08-13 17:05:00,110,1,404400,0,0,0,0,0,1,0,0,3
As******89,2024-09-25 12:52:00,67,1,252750,0,0,0,1,0,0,0,0,0
As*****24,2024-05-11 14:17:00,204,1,506443,0,0,0,0,0,0,0,1,2
As****14,2024-09-08 19:51:00,84,1,100089,0,0,0,1,0,0,0,0,0
As****27,2024-11-02 07:00:00,30,11,1417039,0,0,0,1,0,0,0,0,0
As****hd,2024-11-19 09:22:00,12,2,404400,0,0,0,0,1,0,0,0,2
As****ya,2024-09-25 10:35:00,67,1,252823,1,0,0,0,0,0,0,0,1
At*************ya,2024-08-20 10:01:00,103,1,100089,0,0,0,1,0,0,0,0,0
